Set inbox to C:\Program Files\Microsoft Configuration Manager\inboxes\cmupdate.box  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.111+480><thread=3900 (0xF3C)>
This running on active site server CM1.CORP.CONTOSO.COM.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.111+480><thread=3900 (0xF3C)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.111+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[0].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.157+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[1].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[2].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[3].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[4].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[5].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[6].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[7].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[8].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.173+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[9].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.189+480><thread=3900 (0xF3C)>
INFO: Executing SqlCMUpdateInitScripts[10].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.204+480><thread=3900 (0xF3C)>
Getting SYSCENTERID & iLicenseType  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.236+480><thread=3900 (0xF3C)>
Initializing the status message reporting system...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.236+480><thread=3900 (0xF3C)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.236+480><thread=3900 (0xF3C)>
    The path to the "Status Manager" inbox is "C:\Program Files\Microsoft Configuration Manager\inboxes\statmgr.box\statmsgs".  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.236+480><thread=3900 (0xF3C)>
    SMS_STATUS_MANAGER is not running as part of this process, the SMS_EXECUTIVE to SMS_STATUS_MANAGER in-memory status message queue will not be used.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.251+480><thread=3900 (0xF3C)>
Registered this process as a source of "SMS Server" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:25.782+480><thread=3900 (0xF3C)>
Registered this process as a source of "SMS Client" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:25.798+480><thread=3900 (0xF3C)>
Registered this process as a source of "SMS Provider" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:25.814+480><thread=3900 (0xF3C)>
Status message reporting system initialized successfully.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:25.829+480><thread=3900 (0xF3C)>
There is no need to start monitoring thread.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:25.845+480><thread=3900 (0xF3C)>
Waiting for changes to the "C:\Program Files\Microsoft Configuration Manager\inboxes\cmupdate.box" directories, updates will be polled in 600 seconds...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:25.845+480><thread=3900 (0xF3C)>
CONFIGURATION_MANAGER_UPDATE service is stopping...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:48.057+480><thread=7816 (0x1E88)>
STATMSG: ID=501 SEV=I LEV=M SOURCE="SMS Server" COMP="CONFIGURATION_MANAGER_UPDATE" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2808 TID=7816 GMTDATE=Mon Feb 27 03:55:48.063 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:48.064+480><thread=7816 (0x1E88)>
 RETURN CODE -2  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:48.064+480><thread=3900 (0xF3C)>
CONFIGURATION_MANAGER_UPDATE service is signalled to stop...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:48.064+480><thread=3900 (0xF3C)>
STATMSG: ID=502 SEV=I LEV=M SOURCE="SMS Server" COMP="CONFIGURATION_MANAGER_UPDATE" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2808 TID=3900 GMTDATE=Mon Feb 27 03:55:48.072 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:48.064+480><thread=3900 (0xF3C)>
*******************************************************************************  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
CONFIGURATION_MANAGER_UPDATE service is starting...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
Microsoft Endpoint Configuration Manager v5.00 (Build 9078)  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
Process ID: 2572  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
Worker thread ID: 3688  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
Set inbox to C:\Program Files\Microsoft Configuration Manager\inboxes\cmupdate.box  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
This running on active site server CM1.CORP.CONTOSO.COM.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.674+480><thread=3688 (0xE68)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.690+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[0].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.721+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[1].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.721+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[2].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.721+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[3].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.721+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[4].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.721+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[5].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.721+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[6].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.737+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[7].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.737+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[8].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.737+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[9].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.737+480><thread=3688 (0xE68)>
INFO: Executing SqlCMUpdateInitScripts[10].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.737+480><thread=3688 (0xE68)>
Getting SYSCENTERID & iLicenseType  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.784+480><thread=3688 (0xE68)>
Initializing the status message reporting system...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.799+480><thread=3688 (0xE68)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.799+480><thread=3688 (0xE68)>
    The path to the "Status Manager" inbox is "C:\Program Files\Microsoft Configuration Manager\inboxes\statmgr.box\statmsgs".  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.799+480><thread=3688 (0xE68)>
    SMS_STATUS_MANAGER is not running as part of this process, the SMS_EXECUTIVE to SMS_STATUS_MANAGER in-memory status message queue will not be used.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:01.799+480><thread=3688 (0xE68)>
Registered this process as a source of "SMS Server" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:03.299+480><thread=3688 (0xE68)>
Registered this process as a source of "SMS Client" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:03.315+480><thread=3688 (0xE68)>
Registered this process as a source of "SMS Provider" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:03.330+480><thread=3688 (0xE68)>
Status message reporting system initialized successfully.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:03.346+480><thread=3688 (0xE68)>
There is no need to start monitoring thread.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:03.346+480><thread=3688 (0xE68)>
Waiting for changes to the "C:\Program Files\Microsoft Configuration Manager\inboxes\cmupdate.box" directories, updates will be polled in 600 seconds...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:03.346+480><thread=3688 (0xE68)>
CONFIGURATION_MANAGER_UPDATE service is stopping...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:28.253+480><thread=9632 (0x25A0)>
STATMSG: ID=501 SEV=I LEV=M SOURCE="SMS Server" COMP="CONFIGURATION_MANAGER_UPDATE" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2572 TID=9632 GMTDATE=Mon Feb 27 03:56:28.267 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:28.253+480><thread=9632 (0x25A0)>
 RETURN CODE -2  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:28.268+480><thread=3688 (0xE68)>
CONFIGURATION_MANAGER_UPDATE service is signalled to stop...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:28.273+480><thread=3688 (0xE68)>
STATMSG: ID=502 SEV=I LEV=M SOURCE="SMS Server" COMP="CONFIGURATION_MANAGER_UPDATE" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2572 TID=3688 GMTDATE=Mon Feb 27 03:56:28.274 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:56:28.273+480><thread=3688 (0xE68)>
