Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.Discovery.DiscoveryMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.282+480><thread=5164 (0x142C)>
Refreshing discovery data store procedures...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.314+480><thread=5164 (0x142C)>
Loading discovery architectures...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.689+480><thread=5164 (0x142C)>
Loading discovery property definitions...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.704+480><thread=5164 (0x142C)>
Getting current site code...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.720+480><thread=5164 (0x142C)>
Starting message processor...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.751+480><thread=5164 (0x142C)>
Message processor started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.751+480><thread=5164 (0x142C)>
Initialize message processor thread stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.751+480><thread=5164 (0x142C)>
Main processing thread for message type GatewayService started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.751+480><thread=5164 (0x142C)>
Main processing thread for message type Discovery started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:44.048+480><thread=9860 (0x2684)>
Main processing thread for message type Instant started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:45.032+480><thread=10076 (0x275C)>
Stop for thread SMS_MESSAGE_PROCESSING_ENGINE has been called or Task Execution Manager thread has shutdown.  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.126+480><thread=5648 (0x1610)>
The host's stop has been called, shutting down 1 workers.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=5648 (0x1610)>
Inbox file handler thread stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=4920 (0x1338)>
Stopping message processor...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=5648 (0x1610)>
