Can not check availability for component SMS_MESSAGE_PROCESSING_ENGINE since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_DESPOOLER since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Updated Operations Management registry key values for component SMS_AZUREAD_DISCOVERY_AGENT; Execution State = 2 and Availability State = 0.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_SCHEDULER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_MP_FILE_DISPATCH_MANAGER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_INVENTORY_PROCESSOR since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Updated Operations Management registry key values for component SMS_EXECUTIVE; Execution State = 2 and Availability State = 0.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_ENDPOINT_PROTECTION_MANAGER since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_CLOUD_USERSYNC since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Updated Operations Management registry key values for component SMS_WINNT_SERVER_DISCOVERY_AGENT; Execution State = 1 and Availability State = 3.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_OFFER_MANAGER since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_LAN_SENDER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_INVENTORY_DATA_LOADER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
