********************************************************************************  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_ALERT_NOTIFICATION" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=5628 GMTDATE=Mon Feb 27 03:52:08.922 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.912+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): Monitoring thread 5328 exits...  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.912+480><thread=5328 (0x14D0)>
site system identification certificate maintenance in 1705 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.912+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): A monitoring thread 3468 is created  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.912+480><thread=3468 (0xD8C)>
site system identification certificate maintenance in 1704 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:09.928+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1703 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:10.943+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:10.943+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1702 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:11.943+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:13.990+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1699 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:14.990+480><thread=2084 (0x824)>
SMS_AZUREAD_DISCOVERY_AGENT initialized, DLL = "\bin\x64\TEMHostWrapper.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\TEMHostWrapper.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\TEMHostWrapper.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
SMS_AZUREAD_DISCOVERY_AGENT started, ThreadMain() thread ID = 5060.  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_AZUREAD_DISCOVERY_AGENT" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=5060 GMTDATE=Mon Feb 27 03:52:15.997 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
SMS_BUSINESS_APP_PROCESS_MANAGER initialized, DLL = "\bin\x64\TEMHostWrapper.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\TEMHostWrapper.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\TEMHostWrapper.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
SMS_BUSINESS_APP_PROCESS_MANAGER started, ThreadMain() thread ID = 7344.  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_BUSINESS_APP_PROCESS_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=7344 GMTDATE=Mon Feb 27 03:52:16.005 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:15.990+480><thread=2084 (0x824)>
SMS_CERTIFICATE_MANAGER initialized, DLL = "\bin\x64\CertMgr.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.006+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\CertMgr.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.022+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\CertMgr.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.022+480><thread=2084 (0x824)>
SMS_CERTIFICATE_MANAGER started, ThreadMain() thread ID = 6960.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.022+480><thread=2084 (0x824)>
