File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\COLLEVAL.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.433+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\polreq.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.434+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\sinv.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.436+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\businessappprocess.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.437+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\rcm.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.439+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\distmgr.box\incoming is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.440+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\despoolr.box\receive is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.441+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\dataldr.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.442+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\AIKbMgr.box\RETRY is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.444+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\auth\statesys.box\incoming is 28.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.445+480><thread=2932 (0xB74)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\hman.box\ForwardingMsg is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.446+480><thread=2932 (0xB74)>
Waiting until the next polling cycle in 332 seconds from now.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:54:28.451+480><thread=2932 (0xB74)>
This component thread has been signalled to exit.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.615+480><thread=2932 (0xB74)>
************ SERVICE THREAD IS STOPPING ************~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.631+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>sinv.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>ddm.box>regreq.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => aikbmgr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => swmproc.box>usage.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>statesys.box>incoming>high.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => objmgr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => OGprocess.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => schedule.box>requests.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>statesys.box>incoming>low.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => replmgr.box>incoming.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => schedule.box>outboxes>LAN.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => bgb.box>bad.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>dataldr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>ddm.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => ddm.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => offermgr.box>INCOMING.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => notictrl.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>ddm.box>userddrsonly.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => bgb.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => statmgr.box>statmsgs.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => COLLEVAL.box>RETRY.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => COLLEVAL.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => polreq.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => sinv.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => businessappprocess.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => rcm.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => distmgr.box>incoming.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => despoolr.box>receive.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => dataldr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => AIKbMgr.box>RETRY.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => auth>statesys.box>incoming.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
Deleted 'SMS Inbox' performance instance => hman.box>ForwardingMsg.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:09.646+480><thread=2932 (0xB74)>
SMS_EXECUTIVE started SMS_INBOX_MONITOR as thread ID 6860 (0x1ACC).  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:26.876+480><thread=3768 (0xEB8)>
************ SERVICE THREAD IS STARTING ************~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:26.876+480><thread=6860 (0x1ACC)>
Polling interval is 900 seconds based on the Polling Schedule property from the Site Configuration File read from this site server.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.032+480><thread=6860 (0x1ACC)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.032+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => statmgr.box>statmsgs.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.048+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => hman.box>ForwardingMsg.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.048+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => schedule.box>outboxes>LAN.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.048+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => schedule.box>requests.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.048+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => dataldr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.048+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => sinv.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => despoolr.box>receive.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => replmgr.box>incoming.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => ddm.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => polreq.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => rcm.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => bgb.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => bgb.box>bad.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>statesys.box>incoming.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>statesys.box>incoming>low.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.064+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>statesys.box>incoming>high.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => aikbmgr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>ddm.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>ddm.box>regreq.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>ddm.box>userddrsonly.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>sinv.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => auth>dataldr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => swmproc.box>usage.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => distmgr.box>incoming.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => businessappprocess.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => OGprocess.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => AIKbMgr.box>RETRY.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => notictrl.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => COLLEVAL.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => objmgr.box.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => offermgr.box>INCOMING.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Initialized 'SMS Inbox' performance instance => COLLEVAL.box>RETRY.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
Checking inboxes ...~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.079+480><thread=6860 (0x1ACC)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\auth\sinv.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.095+480><thread=6860 (0x1ACC)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\auth\ddm.box\regreq is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.157+480><thread=6860 (0x1ACC)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\aikbmgr.box is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.157+480><thread=6860 (0x1ACC)>
File count for directory C:\Program Files\Microsoft Configuration Manager\inboxes\swmproc.box\usage is 0.~  $$<SMS_INBOX_MONITOR><02-26-2023 19:55:27.157+480><thread=6860 (0x1ACC)>
