INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Access Control Assistance Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Remote Management Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Storage Replica Administrators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Domain Computers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Domain Controllers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Schema Admins,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Enterprise Admins,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Cert Publishers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Domain Admins,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Domain Users,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Domain Guests,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Group Policy Creator Owners,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=RAS and IAS Servers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Server Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.377+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Account Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Incoming Forest Trust Builders,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Windows Authorization Access Group,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Terminal Server License Servers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
