STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.421 2023 ISTR0="SMSDBMON_AADDiscovery_Settings_Ex_AADDiscovery_Settings_SiteComp_d_del" ISTR1="AADDiscovery_Settings_Ex" ISTR2="delete" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.410+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AADDiscovery_Settings_Ex_AADDiscovery_Settings_SiteComp_iu_ins  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.425+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.441 2023 ISTR0="SMSDBMON_AADDiscovery_Settings_Ex_AADDiscovery_Settings_SiteComp_iu_ins" ISTR1="AADDiscovery_Settings_Ex" ISTR2="insert" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.425+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AADDiscovery_Settings_Ex_AADDiscovery_Settings_SiteComp_iu_upd  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.457+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.461 2023 ISTR0="SMSDBMON_AADDiscovery_Settings_Ex_AADDiscovery_Settings_SiteComp_iu_upd" ISTR1="AADDiscovery_Settings_Ex" ISTR2="update" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.457+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AADSync_Settings_AADSync_Settings_SiteComp_d_del  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.472+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.480 2023 ISTR0="SMSDBMON_AADSync_Settings_AADSync_Settings_SiteComp_d_del" ISTR1="AADSync_Settings" ISTR2="delete" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.472+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AADSync_Settings_AADSync_Settings_SiteComp_iu_ins  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.488+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.499 2023 ISTR0="SMSDBMON_AADSync_Settings_AADSync_Settings_SiteComp_iu_ins" ISTR1="AADSync_Settings" ISTR2="insert" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.488+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AADSync_Settings_AADSync_Settings_SiteComp_iu_upd  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.504+480><thread=4244 (0x1094)>
